article,final_decision
FPGA-Aware Scheduling Strategies at Hypervisor Level in Cloud Environments.,True
FUCEM: futuristic cooperation evaluation model using Markov process for evaluating node reliability and link stability in mobile ad hoc network.,True
Face feature extraction and recognition via local binary pattern and two-dimensional locality preserving projection.,True
Face morphing attack detection and attacker identification based on a watchlist.,True
Facial asymmetry-based feature extraction for different applications: a review complemented by new advances.,True
Factor copula models for multivariate data.,True
Factors Influencing Continuous Breath Signal in Intubated and Mechanically-Ventilated Intensive Care Unit Patients Measured by an Electronic Nose.,True
Factors affecting primary health care centers' economic and production efficiency.,True
Fast and Reliable Estimation of Multiple Parametric Images Using an Integrated Method for Dynamic SPECT.,True
Fast approximate solution of Bloch equation for simulation of RF artifacts in Magnetic Resonance Imaging.,True
Fast computation of Legendre moments of polyhedra.,True
Fast k-Nearest Neighbor Searching in Static Objects.,True
Faster Approximate Diameter and Distance Oracles in Planar Graphs.,True
Faster Similarity Search for Multimedia Data Via Query Transformations.,True
Fault-tolerant aggregation: Flow-Updating meets Mass-Distribution.,True
Feature Extraction in Character Recognition with Associative Memory Classifier.,True
Feature Investigation of a Segmented Pole Quasi- Halbach Tubular-Linear Synchronous Machine.,True
Feature-basierte Modellierung und Analyse von Variabilität in Produktlinienanforderungen.,True
Federated Learning-Based Cooperative Spectrum Sensing in Cognitive Radio.,True
Feedback control for rotational movements in feature space.,True
Financial equilibrium with asymmetric information and random horizon.,True
Finding Rectilinear Paths Among Obstacles in a Two-Layer Interconnection Model.,True
Fine-Grained Visual-Textual Representation Learning.,True
Fingerprint classification using a feedback-based line detector.,True
Finite-Time Control for Connected Vehicles Under Denial-of-Service Attacks: A Dynamic Event-Triggered Control Strategy.,True
Finite-Time Peak-To-Peak Filtering for Nonlinear Singular System.,True
Flexible Transaction Dependencies in Database Systems.,True
Forgery localization in images based on joint statistics of image blocks with neighbouring blocks.,True
Formal Lagrangian Operad.,True
Formal solutions of singularly-perturbed linear differential systems.,True
Fourier Transform over Finite Groups for Error Detection and Error Correction in Computation Channels,True
Fractional wavelet transform based diagnostic system for brain tumor detection in MR imaging.,True
Free at Last: The Future of Peer-Reviewed Journals.,True
Functional Fault Simulation as a Guide for Biased-Random Test Pattern Generation.,True
Functional proteomic pattern identification under low dose ionizing radiation.,True
Fundamentals of Implementing Real-Time Control Applications in Distributed Computer Systems.,True
Further results on time-free P systems.,True
Fuzzy logic control of three-pole active magnetic bearing system.,True
G-stack modulated probe intensities on expression arrays - sequence corrections and signal calibration.,True
GA-PPARM: constraint-based objective function and genetic algorithm for privacy preserved association rule mining.,True
GCLR: GNN-Based Cross Layer Optimization for Multipath TCP by Routing.,True
GMM-Based KLT-Domain Switched-Split Vector Quantization for LSF Coding.,True
Gains and limits of diversity techniques in cognitive radio systems.,True
"Gateways, architectures, and heffalumps.",True
Gaussian beam launching for 3D physical modeling of propagation channels.,True
Generalized Sphere-Packing Bounds on the Size of Codes for Combinatorial Channels.,True
Generalized techniques for solving intuitionistic fuzzy multi-objective non-linear optimization problems.,True
Generic Automorphisms with prescribed Fixed Fields.,True
Geoinformatics education in China.,True
Geometric Mean for Subspace Selection.,True
Geometrical Bounds for Variance and Recentered Moments.,True
Gewissensbits - wie würden Sie urteilen?,True
Graph decomposition with applications to subdivisions and path systems modulo ,True
Group Divisible Designs with Block Size Four and Group Type ,True
Group consensus for heterogeneous multi-agent systems with parametric uncertainties.,True
Growth Theorems for a Subclass of Strongly Spirallike Functions.,True
Guest Editors' Introduction: Special Issue on Autonomous Systems Design.,True
Guest Editors' Introduction: Special Issue on Cloud of Clouds.,True
H,True
Hamiltonian Systems: Chaos and Quantization (Alfredo M. Ozorio de Almeida). Chaos and Integrability in Nonlinear Dynamics: An Introduction (Michael Tabor) An Introduction to Chaotic Dynamical Systems (Robert L. Devaney).,True
HanLP-Based Technology Function Matrix Construction on Chinese Process Patents.,True
Harmonisierung divergierender organisationaler Kulturen in öffentlich-privaten IT-Partnerschaften.,True
Heavy-tails in Kalman filtering with packet losses.,True
Hiding Secrets in Plain Sight.,True
Hierarchical Layouts for Photo Libraries.,True
High-Level Synthesis of Number-Theoretic Transform: A Case Study for Future Cryptosystems.,True
High-tech indicators: assessing the competitiveness of selected European countries.,True
Higher-order correlations in non-stationary parallel spike trains: statistical modeling and inference.,True
Highly Specific and Cost-Efficient Detection of ,True
"Hilfsbereit, verständnisvoll, bescheiden: Problematik und Folgen von weiblichen Voice Assistants.",True
Hitori Numbers.,True
Homogeneous Spiking Neural P Systems.,True
Homophily and Social Norms in Experimental Network Formation Games.,True
Horizontal Auto-Scaling for Multi-Access Edge Computing Using Safe Reinforcement Learning.,True
How Attention Changes in Response to Incentives.,True
How can Social Herding Enhance Cooperation?,True
Human Activity Recognition on Microcontrollers with Quantized and Adaptive Deep Neural Networks.,True
Human-computer interaction and standardization.,True
Hybrid Blockchain Database Systems: Design and Performance.,True
Hybrid Reduced-Complexity Multiuser Detector for CDMA Communication Systems.,True
Hyper-Atoms Applied to the Critical Pair Theory.,True
HyperNet: A conditional k-anonymous and censorship resistant decentralized hypermedia architecture.,True
ILClass: Error-driven antecedent learning for evolving Takagi-Sugeno classification systems.,True
INDIGO: Better Geomagnetic Observatories Where We Need Them.,True
INTRODUCTION. Systèmes d'organisation des connaissances hétérogènes pour les applications documentaires.,True
IO and OI. II.,True
ISAR Imaging of Rotating Target with Equal Changing Acceleration Based on the Cubic Phase Function.,True
Impact of Factors Influencing Cyber Threats on Autonomous Vehicles.,True
Impact of Monsoon-Transported Anthropogenic Aerosols and Sun-Glint on the Satellite-Derived Spectral Remote Sensing Reflectance in the Indian Ocean.,True
Implementation and performance analysis of various VM placement strategies in CloudSim.,True
Implementation of Machine Learning for Autonomic Capabilities in Self-Organizing Heterogeneous Networks.,True
Improved Electric Field Distribution Within Bushing Insulation by EP/GO Nanocomposites With Reduced Temperature Coefficient of Conductivity.,True
Improved Robust Video Saliency Detection Based on Long-Term Spatial-Temporal Information.,True
Improved Speech Enhancement Considering Speech PSD Uncertainty.,True
Improved field localization in transcranial magnetic stimulation of the brain with the utilization of a conductive shield plate in the stimulator.,True
Improved hash and transmission method for larger packets in the RADIUS protocol.,True
Improved likelihood ratio test based voice activity detector applied to speech recognition.,True
Improved monarch butterfly optimization for unconstrained global search and neural network training.,True
Improving Human Decision Making through Case-Based Decision Aiding.,True
Improving amplify-and-forward relay networks: optimal power allocation versus selection.,True
Improving the Adversarial Robustness for Speaker Verification by Self-Supervised Learning.,True
Improving the prediction performance of customer behavior through multiple imputation.,True
In silico evaluation of the influence of the translocon on partitioning of membrane segments.,True
"Incomplete Markets, Allocative Efficiency, and the Information Revealed by Prices.",True
Incremental holistic controller.,True
Incremental-data stealth-transmission method in DSSS.,True
Independent Updates and Incremental Agreement in Replicated Databases.,True
Indoor Magnetic Signature Based Localization Algorithm without Person-Dependent Parameter Calibration.,True
Inferring Bias and Uncertainty in Camera Calibration.,True
Influence of the residual stress state of coatings on the wear behavior in external turning of AISI 4140 and Ti-6Al-4V.,True
"Information Society: Analyzing Problems and Prospects of Using Information Technologies, Computers and Communication Networks.",True
Information: 'I' vs. 'we' vs. 'they'.,True
Informationssysteme in der Medizin.,True
Initial Boundary Value Problem for Model Equations of Resistive Drift Wave Turbulence.,True
Input-to-State Stabilization of Nonlinear Systems via Event-Triggered Impulsive Control.,True
Integral geometry for the 1-norm.,True
Integrated Geophysics and Geomatics Surveys in the Valley of the Kings.,True
Integration of Sentinel-1 and Sentinel-2 Data for Land Cover Mapping Using W-Net.,True
Intelligent Modeling and Verification 2014.,True
Interference alignment in K-user multiple-input-multiple-output interference channels with partially coordinated receivers.,True
Intermodulation performance of biased-nonlinearities.,True
Internal Model Control of Permanent Magnet Synchronous Motor Using Support Vector Machine Generalized Inverse.,True
Internet of vehicle's resource management in 5G networks using AI technologies: Current status and trends.,True
Internetalization of End-Users.,True
Interpreting AI and its place in our worlds.,True
Into Scandinavia: When Online Fatherhood Reflects Societal Infrastructures.,True
Intra-Cluster Distance Minimization in DNA Methylation Analysis Using an Advanced Tabu-Based Iterative $k$k-Medoids Clustering Algorithm (T-CLUST).,True
Intraoperative visualization of cerebral oxygenation using hyperspectral image data: a two-dimensional mapping method.,True
Introduction.,True
Investigating voice in action teams: a critical review.,True
Is There a Fourth Law for Non-Ergodic Systems That Do Work to Construct Their Expanding Phase Space?,True
Issues in International Public Data Networking.,True
Issues of Importance in Designing GaAs Microcomputer Systems.,True
Joint segmentation and classification of retinal arteries/veins from fundus images.,True
Joint transmit antenna selection and precoding for millimeter wave massive MIMO systems.,True
K-means clustering analysis and evaluation for internet of acoustic environment characteristics.,True
KeyWords Plus - Algorithmic Derivative Indexing.,True
Keyword Search Over Probabilistic RDF Graphs.,True
Knightian decision theory and econometric inferences.,True
Knowledge Management Capability in Nursing care Performance in Selected Teaching Hospitals in Southwest Nigeria.,True
Knowledge Management Research Initiatives in North America.,True
Knowledge Transfer in Information Security Capacity Building for Community-Based Organizations.,True
LED Half-Power Angle Optimization for Ultra-Dense Indoor Visible Light Communication Network Deployment.,True
LEDGERBENCH: A Framework for Benchmarking Ledger Databases.,True
LMI conditions for global asymptotic stability results for neutral-type neural networks with distributed time delays.,True
Lagrangian Duality for Robust Problems with Decomposable Functions: The Case of a Robust Inventory Problem.,True
Landscape and Dynamics of the Transcriptional Regulatory Network During Natural Killer Cell Differentiation.,True
Large scale content distribution protocols.,True
Large-scale Cortical Network Properties Predict Future Sound-to-Word Learning Success.,True
Lattice pseudoeffect algebras as double residuated structures.,True
Leader-following mean square consensus of stochastic multi-agent systems with ROUs and RONs under periodically variable impulse time windows.,True
Learning Security QA from the Vulnerability Researchers.,True
Learning stacking regression for no-reference super-resolution image quality assessment.,True
Learning the Graph Edit Costs Based on a Learning Model Applied to Sub-optimal Graph Matching.,True
Learning to detect and understand drug discontinuation events from clinical narratives.,True
Left truncated and right censored Weibull data and likelihood inference with an illustration.,True
Leverage Point Identification Method for LAV-Based State Estimation.,True
LexBFS-orderings and powers of chordal graphs.,True
Library and Information Science research areas: A content analysis of articles from the top 10 journals 2007-8.,True
"Life, IoT, and the Pursuit of Happiness.",True
Lightweight Secure Message Delivery for E2E S2S Communication in the IoT-Cloud System.,True
Linear Complexity of New Binary Sequence Derived From Polynomial Quotients Modulo p in General Case and Their Generalizations.,True
Linear and DF joint detectors for DS-CDMA communications using periodic long codes.,True
Linear transformations for cross-lingual semantic textual similarity.,True
Link-Adaptive Mapper Designs for Space-Shift-Keying-Modulated MIMO Systems.,True
Literate specifications.,True
Local bifurcation Boundary and Steady-State Security Boundary in Large Electric Power Systems: Numerical Studies.,True
Local search heuristics for multi-index assignment problems with decomposable costs.,True
Local stability analysis for continuous-time Takagi-Sugeno fuzzy systems with time delay.,True
Local β compactness as fuzzy predicates defined in Łukasiewicz logic.,True
Localized measurement of image fractal dimension using gabor filters.,True
Long Time versus Steady State Optimal Control.,True
Lossy Compression of Communication Traces Using Recurrent Neural Networks.,True
Low gate interface traps AlGaN/GaN HEMTs using a lattice matched ZrZnO transparent gate design.,True
Low-Cost Passive Beamforming for RIS-Aided Wideband OFDM Systems.,True
Low-latency service function chain migration in edge-core networks based on open Jackson networks.,True
MAP Symbol decoding in channels with error bursts.,True
MDP-based handover policy in wireless relay systems.,True
MM-DSS: Integrating multimedia and decision-making knowledge in decision support systems.,True
MODEM: multi-omics data envelopment and mining in maize.,True
"MOLAR: A Cost-Efficient, High-Performance SSD-Based Hybrid Storage Cache.",True
MR-ELM: a MapReduce-based framework for large-scale ELM training in big data era.,True
MagicVO: An End-to-End Hybrid CNN and Bi-LSTM Method for Monocular Visual Odometry.,True
Magnetothermoelasticity with two relaxation times in conducting medium with variable electrical and thermal conductivity.,True
Making Customer Service a Priority.,True
Mapping rectangular mesh algorithms onto asymptotically space-optimal arrays.,True
Markov Chain Model for Events Following Induced Abortion.,True
Mass Segmentation in Automated 3-D Breast Ultrasound Using Adaptive Region Growing and Supervised Edge-Based Deformable Model.,True
Mathematical programming models for piecewise-linear discriminant analysis.,True
Maximizing Barber's bipartite modularity is also hard.,True
Maximum Matchings in General Graphs Through Randomization.,True
Maximum semi-matching problem in bipartite graphs.,True
Mechanisms of ventricular arrhythmias elicited by coexistence of multiple electrophysiological remodeling in ischemia: A simulation study.,True
"Mechanisms underlying decoding at 7 T: Ocular dominance columns, broad structures, and macroscopic blood vessels in V1 convey information on the stimulated eye.",True
Meeting Food Quality and Safety Requirements with Active and Intelligent Packaging Techniques.,True
Mercer and Wu-Srivastava generalisations of Steffensen's inequality.,True
"Metaverse: Perspectives from graphics, interactions and visualization.",True
Methods for Comprehensive Analysis of Heat Supply Reliability.,True
Microfluidic Cultivation and Laser Tweezers Raman Spectroscopy of ,True
"Microwave effect: analyzing citations from classic theories and their reinventions - a case study from a classic paper in aquatic ecology - Brooks & Dodson, 1965.",True
Minimax Probability TSK Fuzzy System Classifier: A More Transparent and Highly Interpretable Classification Model.,True
Mining Architecture Tactics and Quality Attributes knowledge in Stack Overflow.,True
Mixing network coding and cooperation for reliable wireless communications.,True
Mobile Applikationen im Recruiting und Personalmarketing.,True
Mobile Technology for Foreign Language Teaching: Building Bridges between Non-formal and Formal Scenarios.,True
Mobile spoken dialogue system using parser dependencies and ontology.,True
Moby: A Blackout-Resistant Anonymity Network for Mobile Devices.,True
Model predictive sliding mode control of six-phase induction motor using nine-switch converter.,True
Modeling Coverage in Camera Networks: A Survey.,True
Modeling allosteric signal propagation using protein structure networks.,True
Modelling Segmented Cardiotocography Time-Series Signals Using One-Dimensional Convolutional Neural Networks for the Early Detection of Abnormal Birth Outcomes.,True
Modelling Site Index in Forest Stands Using Airborne Hyperspectral Imagery and Bi-Temporal Laser Scanner Data.,True
Modification and Validation of the DREIDING Force Field for Molecular Liquid Simulations (DREIDING-UT).,True
Modified Magnitude-Phase Spectrum Information for Spoofing Detection.,True
Modular Simulation-Based Physical and Emotional Assessment of Ambient Intelligence in Traffic.,True
Monocular Semidirect Visual Odometry for Large-Scale Outdoor Localization.,True
Monotonicity properties of wholesale price contracts.,True
Movement Pattern Recognition of Medaka for an Insecticide: A Comparison of Decision Tree and Neural Network.,True
Multi-Agent Deep Reinforcement Learning for Trajectory Design and Power Allocation in Multi-UAV Networks.,True
Multi-Invariance ESPRIT-Based Blind DOA Estimation for MC-CDMA With an Antenna Array.,True
Multi-objective hierarchical algorithms for restoring Wireless Sensor Network connectivity in known environments.,True
Multichannel bandwidth allocation in a broadband packet switch.,True
Multipath Routing for Video Streaming inWireless Mesh Networks.,True
Multiscale Modeling of Skeletal Muscle Active Contraction in Relation to Mechanochemical Coupling of Molecular Motors.,True
"Multitarget likelihood computation for track-before-detect applications with amplitude fluctuations of type swerling 0, 1, and 3.",True
MyGeoHub - A sustainable and evolving geospatial science gateway.,True
NB-IoT Random Access for Nonterrestrial Networks: Preamble Detection and Uplink Synchronization.,True
NFS version 4 Protocol.,True
NFS-cc: tuning NFS for concurrent read sharing.,True
NFT Certificates and Proof of Delivery for Fine Jewelry and Gemstones.,True
Neural substrates of normal and impaired preattentive sensory discrimination in large cohorts of nonpsychiatric subjects and schizophrenia patients as indexed by MMN and P3a change detection responses.,True
Neutrosophic Logic Based Quantum Computing.,True
New Depth From Focus Filters in Active Monocular Vision Systems for Indoor 3-D Tracking.,True
New March Tests for Multiport RAM Devices.,True
New Method for the Estimation of Domains of Attraction of Fixed Points from Lyapunov Functions.,True
New Proposed Algorithms for nth Order Butterworth Active Filter Computer-Aided Design.,True
New techniques for untestable fault identification in sequential circuits.,True
Newly Elected CIS Administrative Committee Members (2021-2023) [Society Briefs].,True
Next2You: Robust Copresence Detection Based on Channel State Information.,True
Noise Localization Method for Model Tests in a Large Cavitation Tunnel Using a Hydrophone Array.,True
Nonrigid medical image registration with locally linear reconstruction.,True
Notes on the simulation of evolution.,True
Novel technique for preprocessing high dimensional time-course data from DNA microarray: mathematical model-based clustering.,True
Nucleotide sequence of tryptophan tRNA from Bacillus subtilis.,True
Numerical Minimization of Dirichlet Laplacian Eigenvalues of Four-Dimensional Geometries.,True
Numerical simulation of stochastic gene circuits.,True
OWA filters and forecasting models applied to electric power load time series.,True
Objective Methods for Reliable Detection of Concealed Depression.,True
Observer-Based Consensus Protocol for Directed Switching Networks With a Leader of Nonzero Inputs.,True
Offline signature verification using shape correspondence.,True
Offline-Enhanced Reduced Basis Method Through Adaptive Construction of the Surrogate Training Set.,True
On Adaptive Influence Maximization Under General Feedback Models.,True
On Kalman filtering over fading wireless channels with controlled transmission powers.,True
On Recovery of Sparse Signals With Prior Support Information via Weighted ℓₚ-Minimization.,True
On Row-Cyclic Codes with Algebraic Structure.,True
On Submesh Allocation for Mesh Multicomputers: A Best-Fit Allocation and a Virtual Submesh Allocation for Faulty Meshes.,True
On a Free Boundary Problem for a Strongly Degenerate Quasi-Linear Parabolic Equation with an Application to a Model of Pressure Filtration.,True
On an algorithm for Vision-based hand gesture recognition.,True
On constrained 2-Partitions of monochromatic sets and generalizations in the sense of Erdos-Ginzburg-Ziv.,True
On evolutionary computing in multi-ship trajectory planning.,True
On measuring the system coherency of quadratically nonlinear systems.,True
On multiserver feedback retrial queues with balking and control retrial rate.,True
On nonmetric similarity search problems in complex domains.,True
On numbers of vertices of maximum degree in the spanning trees of a graph.,True
On rank of block Hankel matrix for 2-D frequency detection and estimation.,True
On strong edge-colouring of subcubic graphs.,True
On the (Q-)index of 2-domination critical graphs.,True
On the Black-Box Complexity of Sperner's Lemma.,True
On the Calculation of Squaring Loss in Costas Loops with Arbitrary Arm Filters.,True
On the Convergence of Decentralized Gradient Descent.,True
On the Declarative Specification of Models.,True
On the Divergence and the Joshi Dependence Measure in Feature Selection.,True
On the Numerical Solution of Fredholm Integral Equations of the First Kind by the Inversion of the Linear System Produced by Quadrature.,True
On the Role of Land Surface Temperature as Proxy of Soil Moisture Status for Drought Monitoring in Europe.,True
On the applicability of the Fujisaki-Okamoto transformation to the BIKE KEM.,True
On the edge-density of 4-critical graphs.,True
On the expected time for Herman's probabilistic self-stabilizing algorithm.,True
On the non-idealness of cyclotomic families of pairing-friendly elliptic curves.,True
"On the optimal, fair and channel-aware cognitive radio network reconfiguration.",True
On the origin of distribution patterns of motifs in biological networks.,True
On the robust stabilizability of uncertain linear time-invariant plants using nonlinear time-varying controllers.,True
On turbo encodedBicm.,True
On weighted unbalanced linguistic aggregation operators in group decision making.,True
On-line Construction of Two-Dimensional Suffix Trees.,True
"One-Tape, Off-Line Turing Machine Computations",True
Online Stock Price Prediction Based on Interval Data Analysis.,True
Online detection and removal of eye blink artifacts from electroencephalogram.,True
Online education for developing contexts.,True
Open and Dense Topological Transitivity of Extensions by Non-Compact Fiber of Hyperbolic Systems: A Review.,True
Open hypermedia for product support.,True
Optical Path Cross-Connect System Scale Evaluation Using Path Accommodation Design for Restricted Wavelength Multiplexing .,True
Optimal Data Rate for Reliable Packet Communications in Laplace Noise.,True
Optimal Pilot Symbol Power Allocation under Time-variant Channels.,True
Optimal Power for Microwave Slotted Probes in Ablating Different Hepatocellular Carcinoma Sizes.,True
Optimal control of the behavior of solutions of an initial boundary value problem simulating rotation of a solid with an elastic rod.,True
Optimal policies with decreasing probability of imperfect maintenance.,True
Optimal power allocation for relayed transmissions over Rayleigh-fading channels.,True
Optimization driven multi-hop network design and experimentation: the approach of the FP7 project OPNEX.,True
Optimizing Spatial Mapping of Nested Loop for Coarse-Grained Reconfigurable Architectures.,True
Organisation innovation and entrepreneurship: the role of the national laboratories in promoting industrial development.,True
PANFIS: A Novel Incremental Learning Machine.,True
PDF/A: A Viable Addition to the Preservation Toolkit.,True
PID Controller Synthesis Using a σ-Hurwitz Stability Criterion.,True
PRALINE,True
Pair-v-SVR: A Novel and Efficient Pairing nu-Support Vector Regression Algorithm.,True
"Papers Invited from the 12th International Conference on ITS Telecommunications, Taipei, Taiwan, November 5-8, 2012 [Guest Editorial].",True
Parallel Simulated Annealing.,True
Parallelizing a finite element solver in computational hemodynamics.,True
Parameter-Free Attention in fMRI Decoding.,True
Particle Swarm Optimization With Interswarm Interactive Learning Strategy.,True
Path partition for graphs with special blocks.,True
Penalised spline estimation for generalised partially linear single-index models.,True
Perceptual non-intrusive speech quality assessment using a self-organizing map.,True
Performance modeling of microsecond scale biological molecular dynamics simulations on heterogeneous architectures.,True
Performance-Driven Assignment of Buffered I/O Signals in Area-I/O Flip-Chip Designs.,True
Personal informatics systems for supporting self-regulation in online learning environments.,True
Phasor Estimation Algorithm Based on Complex Frequency Filters for Digital Relaying.,True
Phone-level pronunciation scoring and assessment for interactive language learning.,True
Physics-Informed Hyperspectral Remote Sensing Image Synthesis With Deep Conditional Generative Adversarial Networks.,True
Piezo/Tribotronics Toward Smart Flexible Sensors.,True
Polar permutation graphs are polynomial-time recognisable.,True
Portable and Airborne Small Footprint LiDAR: Forest Canopy Structure Estimation of Fire Managed Plots.,True
Positive sum Operations on Ordinals and Normal Filters on Greatly Mahlo Cardinals.,True
Post-anthropocentric creativity.,True
Power allocation in vector estimation systems with the impact of wireless channel uncertainty.,True
Practical Verifiable Encryption and Decryption of Discrete Logarithms.,True
Prediction of Subsurface NMR T2 Distributions in a Shale Petroleum System Using Variational Autoencoder-Based Neural Networks.,True
"Predictive big data analytics for supply chain demand forecasting: methods, applications, and research opportunities.",True
Predictive control for sector bounded nonlinear model and its application to solid oxide fuel cell systems.,True
Preface.,True
"Pretense, Counterfactuals, and Bayesian Causal Models: Why What Is Not Real Really Matters.",True
Prioritized Deployment of Dynamic Service Function Chains.,True
Privacy-Preserving Analysis for Remote Video Anomaly Detection in Real Life Environments.,True
Privacy-preserving network forensics.,True
Private Cloud-Infrastrukturen und Cloud-Plattformen.,True
Private and rateless adaptive coded matrix-vector multiplication.,True
Probabilistic constraint tightening techniques for trajectory planning with predictive control.,True
Probabilistic visual secret sharing schemes for grey-scale images and color images.,True
Problem 11378.,True
Problem-based learning as an effective tool for teaching computer network design.,True
Processing of Noise Radar Waveforms using Block Least Mean Squares Algorithm.,True
Product Cost Management Structures: a review and neural network modelling.,True
Productive Use of Failure in Inductive Proof.,True
Professional ethics and social responsibility: military work and peacebuilding.,True
Professional networking with emailing groups: A case of Pakistan Library Automation Group.,True
Prometheus or Pandora: The Influence of Automation on Society.,True
Propagation of Measurement Errors Through Body Composition Equations for Body Impedance Analysis.,True
Properties of ,True
Prosody-driven Sentence Processing: An Event-related Brain Potential Study.,True
Protocols for reliable data transport in space internet.,True
Prototyping: generating ideas or cargo cult designs?,True
Pruning Strategy on Adaptive Rule Model by Sorting Utility Items.,True
Public Strategies for Artificial Intelligence: Which Value Drivers?,True
Publishing Artificial Intelligence Research Papers: A Tale of Three Journals.,True
Pulsar: A resource-control architecture for time-critical service-oriented applications.,True
Q-Learning Based Physical-Layer Secure Game Against Multiagent Attacks.,True
QPRD: QoS-Aware Peering Routing Protocol for Delay-Sensitive Data in Hospital Body Area Network.,True
QoE Vadis? (Dagstuhl Perspectives Workshop 16472).,True
QoS-Aware Middleware for Web Services Composition.,True
Quantification of Sub-Pixel Dynamics in High-Speed Neutron Imaging.,True
"Quantifying Spike Train Oscillations: Biases, Distortions and Solutions.",True
Quantitative evaluation of fiber tractography with a Delaunay triangulation-based interpolation approach.,True
Quantum Indistinguishability of Random Sponges.,True
Query Optimization in Star Computer Networks.,True
Query by Video Clip.,True
R & D indicators and socio-economic cohesion.,True
RIO configuration optimization for assured service in diffserv networks.,True
Ranking configuration parameters in multi-tiered e-commerce sites.,True
Rate-distortion theory applied to automatic object recognition.,True
Rational Points of Some Elliptic Curves Related to the Tilings of the Equilateral Triangle.,True
ReAlignerV: Web-based genomic alignment tool with high specificity and robustness estimated by species-specific insertion sequences.,True
Real controllability/stabilizability radius of LTI systems.,True
Real options analysis of investment in carbon capture and sequestration technology.,True
Real-Time Power Electronics Laboratory to Strengthen Distance Learning Engineering Education on Smart Grids and Microgrids.,True
Real-time event detection using recurrent neural network in social sensors.,True
Real-time multimedia broadcasting via direct-detection fiber-optic synchronous CDMA networks.,True
Real-time multiview data fusion for object tracking with RGBD sensors.,True
Realtime Simulation of Thin-Shell Deformable Materials Using CNN-Based Mesh Embedding.,True
Recent trends indicate rapid growth of nature-inspired optimization in academia and industry.,True
Recognition of abdominal organs using 3D mathematical morphology.,True
Reconstructing Binary Signals by Rule-Based Fuzzy Equalizer with Self-Organizing Capability.,True
"Reconstruction of the Infection Curve for SARS Epidemic in Beijing, China Using a Back-Projection Method.",True
Reduced Prediction Saturation and View Effects for Estimating the Leaf Area Index of Winter Wheat.,True
Reduction of sample sizes in network sampling models.,True
Reformulations for general advection-diffusion-reaction equations and locally implicit ADER schemes.,True
Region segmentation using information divergence measures.,True
Relativistic Effects in Bistatic Synthetic Aperture Radar.,True
Reliability Allocation Problem in Series-Parallel Systems: Ant Colony Optimization.,True
Reliable Estimation for Health Index of Transformer Oil Based on Novel Combined Predictive Maintenance Techniques.,True
"Reminiscences ""Back in the Good Old Days..."".",True
Remote Sensing Scene Graph and Knowledge Graph Matching with Parallel Walking Algorithm.,True
Reports on the AAAI 1999 Workshop Program.,True
Representation Learning for EEG-Based Biometrics Using Hilbert-Huang Transform.,True
Research and Implementation of Mobile Internet Management Optimization and Intelligent Information System Based on Smart Decision.,True
Research on Cluster Economy Operation Model Considering Customer Satisfaction.,True
Research on Sieving Performance of Flip-Flow Screen Using Two-Way Particles-Screen Panels Coupling Strategy.,True
Resource management in network dynamics: An optimal approach to the admission control problem.,True
Resultants over commutative idempotent semirings I: Algebraic aspect.,True
Reversible computing and implicit computational complexity.,True
Review Paper: Roundtable on Bioterrorism Detection: Information System-based Surveillance.,True
"Review of ""Concurrent and real-time systems: the CSP approach"" by Steve Schneider. Wiley 1999.",True
Review.,True
Road safety performance function analysis with visual feature importance of deep neural nets.,True
Robotic sound-source localisation architecture using cross-correlation and recurrent neural networks.,True
Robust and Unobtrusive Display-to-Camera Communications via Blue Channel Embedding.,True
Robust load planning of trains in intermodal transportation.,True
SAR Image Denoising via Sparse Representation in Shearlet Domain Based on Continuous Cycle Spinning.,True
SAR Target Configuration Recognition via Two-Stage Sparse Structure Representation.,True
SMS Banking: An Exploratory Investigation of the Factors Influencing Future Use.,True
SPECIAL ISSUE: 2017 International Conference on Applications and Techniques in Cyber Intelligence (ATCI 2017).,True
"SaffronTree: Fast, reference-free pseudo-phylogenomic trees from reads or contigs.",True
Sample size estimation in diagnostic test studies of biomedical informatics.,True
Sampling issues in quantitative analysis of dendritic spines morphology.,True
Satellite-Derived Variation in Burned Area in China from 2001 to 2018 and Its Response to Climatic Factors.,True
Scalable Parallel and Distributed Expert Database Systems with Predictive Load Balancing.,True
Scene Coordinate Regression Network With Global Context-Guided Spatial Feature Transformation for Visual Relocalization.,True
Science in the Cloud: Allocation and Execution of Data-Intensive Scientific Workflows.,True
Seawater Battery-Based Wireless Marine Buoy System With Battery Degradation Prediction and Multiple Power Optimization Capabilities.,True
Sec-D2D: A Secure and Lightweight D2D Communication System With Multiple Sensors.,True
Second-order statistics of system with ,True
"Second-sourcing CPUs - Emulation, Ethics, And Electropolitics.",True
Secondary use of electronic health record data for clinical workflow analysis.,True
Secure Transmission in Linear Multihop Relaying Networks.,True
Security performance evaluation for biometric template protection techniques.,True
Self-Selected Task Allocation.,True
Semantics of Multiplicative Propositional Signed Sequent Calculi with Structural Rules.,True
Sensitive Functions and Approximate Problems.,True
Sequent calculi for skeptical reasoning in predicate default logic and other nonmonotonic logics.,True
Server-Aided Fine-Grained Access Control Mechanism with Robust Revocation in Cloud Computing.,True
Service-Oriented Architecture on FPGA-Based MPSoC.,True
Service-Oriented Atmospheric Radiances (SOAR): Gridding and Analysis Services for Multisensor Aqua IR Radiance Data for Climate Studies.,True
