volume,article
58,Das Regionale Wirtschaftsarchiv in Berlin.
57,Reformulations for general advection-diffusion-reaction equations and locally implicit ADER schemes.
100,Density of Extremal Sets in Multivariate Chebyshev Approximation.
89,Influence of the residual stress state of coatings on the wear behavior in external turning of AISI 4140 and Ti-6Al-4V.
86,Editorial on the special issue of RTNS 2020.
47,Piezo/Tribotronics Toward Smart Flexible Sensors.
8,An Evolutionary Dynamic Control Cuckoo Search Algorithm for Solving the Constrained Engineering Design Problems.
74,Product Cost Management Structures: a review and neural network modelling.
98,UCL facsimile system.
61,A discrete water cycle algorithm for solving the symmetric and asymmetric traveling salesman problem.
28,Human-computer interaction and standardization.
31,Joint transmit antenna selection and precoding for millimeter wave massive MIMO systems.
97,Stabilizing an Uncertain Production System.
50,Small-Cell Assisted Group Paging for Massive MTC in LTE Networks: Design and Analysis.
20,A novel factorial design search to determine realizable constant sets for a multi-mechanism model of mixing sensitive precipitation.
7,An O(n log n) Algorithm for Rectilinear Minimal Spanning Trees.
29,An Energy Efficient Sink Location Service for Continuous Objects in Wireless Sensor Networks.
100,Offline signature verification using shape correspondence.
20,Analysis of the Reliability of LoRa.
94,Improved Electric Field Distribution Within Bushing Insulation by EP/GO Nanocomposites With Reduced Temperature Coefficient of Conductivity.
58,Comparison of four mathematical models to analyze indicator-dilution curves in the coronary circulation.
60,Intraoperative visualization of cerebral oxygenation using hyperspectral image data: a two-dimensional mapping method.
86,Drivers and barriers for secure hardware adoption across ecosystem stakeholders.
72,Erste Überlegungen zur Erklärbarkeit von Deep-Learning-Modellen für die Analyse von Quellcode.
51,On the Convergence of Decentralized Gradient Descent.
14,Developing the New Learning Environment: The Changing Role of the Academic Librarian.
80,"Deanna Marcum and Roger C. Schonfeld. Along Came Google: A History of Library Digitization. Princeton, NJ: Princeton University Press, 2021. 232p. Hardcover, $25.99 (ISBN: 978-0691172712)."
21,Expanding risk consideration in integrated models - The role of downside risk aversion in irrigation decisions.
39,A Hybrid BCI Based on SSVEP and EOG for Robotic Arm Control.
68,Control of clock signals.
10,A Simulation-Based Approach to Decision Making with Partial Information.
34,Power allocation in vector estimation systems with the impact of wireless channel uncertainty.
82,Toward Universal Stripe Removal via Wavelet-Based Deep Convolutional Neural Network.
23,Local search heuristics for multi-index assignment problems with decomposable costs.
19,Incremental-data stealth-transmission method in DSSS.
98,An extensive evaluation of seven machine learning methods for rainfall prediction in weather derivatives.
52,Bottom-up action modeling via spatial factorization for serving food.
66,Secure Transmission in Linear Multihop Relaying Networks.
35,Learning the Graph Edit Costs Based on a Learning Model Applied to Sub-optimal Graph Matching.
96,mpC: a Multi-Paradigm Programming Language for Massively Parallel Computers.
61,A computer-aided approach to identify novel Leishmania major protein disulfide isomerase inhibitors for treatment of leishmaniasis.
70,On the edge-density of 4-critical graphs.
10,On the Calculation of Squaring Loss in Costas Loops with Arbitrary Arm Filters.
89,Secondary use of electronic health record data for clinical workflow analysis.
50,Performance-Driven Assignment of Buffered I/O Signals in Area-I/O Flip-Chip Designs.
17,"A Common Set of Perceptual Observables for Grouping, Figure-Ground Discrimination, and Texture Classification."
49,Estimating the extra costs imposed on delivery vehicles using access time windows in a city.
63,A deep learning based method benefiting from characteristics of patents for semantic relation classification.
14,Generic Automorphisms with prescribed Fixed Fields.
69,Shape-Driven EIT Reconstruction Using Fourier Representations.
88,Annular Neighboring Points Distribution Analysis: A Novel PLS Stem Point Cloud Preprocessing Algorithm for DBH Estimation.
44,#IamMetiria: A qualitative case study of agonistic welfare policy debates on Twitter.
31,MagicVO: An End-to-End Hybrid CNN and Bi-LSTM Method for Monocular Visual Odometry.
41,Interpreting AI and its place in our worlds.
95,Acoustic Features for the Identification of Coronary Artery Disease.
34,A CCD-ADI method for unsteady convection-diffusion equations.
47,Generalized techniques for solving intuitionistic fuzzy multi-objective non-linear optimization problems.
36,Austin Group Status Update.
69,Newly Elected CIS Administrative Committee Members (2021-2023) [Society Briefs].
84,"SaffronTree: Fast, reference-free pseudo-phylogenomic trees from reads or contigs."
4,An Adaptive Infeasible-Interior-Point Method with the One-Norm Wide Neighborhood for Semi-definite Programming.
41,Multi-Agent Deep Reinforcement Learning for Trajectory Design and Power Allocation in Multi-UAV Networks.
92,Functional Fault Simulation as a Guide for Biased-Random Test Pattern Generation.
46,CMPF: Class-switching minimized pathfinding in metabolic networks.
34,Quantum Indistinguishability of Random Sponges.
30,New Proposed Algorithms for nth Order Butterworth Active Filter Computer-Aided Design.
75,A Stochastic Joint Replenishment Problem with Dissimilar Items.
73,Gains and limits of diversity techniques in cognitive radio systems.
98,An accuracy improved hearing aid readout circuit using a gain-enhanced and OTA-free pseudo-PLL feedback technique.
68,Left truncated and right censored Weibull data and likelihood inference with an illustration.
53,Technology entrepreneurial styles: a comparison of UMC and TSMC.
23,Block-Based High Performance CNN Architectures for Frame-Level Overlapping Speech Detection.
24,Input-to-State Stabilization of Nonlinear Systems via Event-Triggered Impulsive Control.
16,Optimal policies with decreasing probability of imperfect maintenance.
72,Two Poset Polytopes.
33,Leader-following mean square consensus of stochastic multi-agent systems with ROUs and RONs under periodically variable impulse time windows.
95,Integrated Geophysics and Geomatics Surveys in the Valley of the Kings.
