quote,cited
A content based image retrieval system for a biological specimen collection.,Society Supports Software Engineering PE Examination.
A content based image retrieval system for a biological specimen collection.,"Theoretical calculations of extraction selectivity: Alkali cation complexes of calix[4]-bis-crown6 in pure water, chloroform, and at a water/chloroform interface."
A content based image retrieval system for a biological specimen collection.,Towards multidimensional subspace skyline analysis.
A content based image retrieval system for a biological specimen collection.,Issues of Importance in Designing GaAs Microcomputer Systems.
A modification of kernel discriminant analysis for high-dimensional data - with application to face recognition.,Technological innovations in hospitals: what kind of competitive advantage does adoption lead to?
A modification of kernel discriminant analysis for high-dimensional data - with application to face recognition.,Using graph partitioning to discover regions of correlated spatio-temporal change in evolving graphs.
A modification of kernel discriminant analysis for high-dimensional data - with application to face recognition.,Structuring and modules for knowledge bases: motivation for a new model.
A modification of kernel discriminant analysis for high-dimensional data - with application to face recognition.,Contextual Factors in the Appearance of Consumer Robots: Exploratory Assessment of Perceived Anxiety Toward Humanlike Consumer Robots.
A modification of kernel discriminant analysis for high-dimensional data - with application to face recognition.,Fast and Reliable Estimation of Multiple Parametric Images Using an Integrated Method for Dynamic SPECT.
Allowing for the effect of data binning in a Bayesian Normal mixture model.,Towards a logical reconstruction of structured modeling.
Allowing for the effect of data binning in a Bayesian Normal mixture model.,Contextual Factors in the Appearance of Consumer Robots: Exploratory Assessment of Perceived Anxiety Toward Humanlike Consumer Robots.
Allowing for the effect of data binning in a Bayesian Normal mixture model.,A DEA approach for evaluating the efficiency and effectiveness of urban transit systems.
Allowing for the effect of data binning in a Bayesian Normal mixture model.,"Review of ""Concurrent and real-time systems: the CSP approach"" by Steve Schneider. Wiley 1999."
Allowing for the effect of data binning in a Bayesian Normal mixture model.,Rate-distortion theory applied to automatic object recognition.
SMS Banking: An Exploratory Investigation of the Factors Influencing Future Use.,An evaluation of alert services: quantity versus quality.
SMS Banking: An Exploratory Investigation of the Factors Influencing Future Use.,Issues in International Public Data Networking.
SMS Banking: An Exploratory Investigation of the Factors Influencing Future Use.,Technology entrepreneurial styles: a comparison of UMC and TSMC.
SMS Banking: An Exploratory Investigation of the Factors Influencing Future Use.,Dynamic QoS control of multimedia applications based on 
SMS Banking: An Exploratory Investigation of the Factors Influencing Future Use.,Two-dimensional dot codes for product identification.
An adaptive memory methodology for the vehicle routing problem with simultaneous pick-ups and deliveries.,Finding Rectilinear Paths Among Obstacles in a Two-Layer Interconnection Model.
An adaptive memory methodology for the vehicle routing problem with simultaneous pick-ups and deliveries.,Assessment of changes in urban green spaces of Mashad city using satellite data.
An adaptive memory methodology for the vehicle routing problem with simultaneous pick-ups and deliveries.,A martingale Kronecker lemma and parameter estimation for linear systems.
An adaptive memory methodology for the vehicle routing problem with simultaneous pick-ups and deliveries.,Prometheus or Pandora: The Influence of Automation on Society.
An adaptive memory methodology for the vehicle routing problem with simultaneous pick-ups and deliveries.,Dynamic QoS control of multimedia applications based on 
Argumentation and CP-Boolean Games.,Maximum Matchings in General Graphs Through Randomization.
Argumentation and CP-Boolean Games.,A modified cumulant matrix for DOA estimation.
Argumentation and CP-Boolean Games.,Fourier Transform over Finite Groups for Error Detection and Error Correction in Computation Channels
Argumentation and CP-Boolean Games.,Sensitive Functions and Approximate Problems.
Argumentation and CP-Boolean Games.,A Study of Search Intermediary Working Notes: Implications for IR System Design.
Correlation analysis of target echoes using distributed transmit array.,A new hierarchical architecture for Air Traffic Management: Optimisation of airway capacity in a Free Flight scenario.
Correlation analysis of target echoes using distributed transmit array.,Book Review of Silicon Second Nature: Culturing Artifical Life in a Digital World by Stefan Helmreich.
Correlation analysis of target echoes using distributed transmit array.,Geometric Mean for Subspace Selection.
Correlation analysis of target echoes using distributed transmit array.,Communication Theory Joint data detection and estimation of time-varying multipath rayleigh fading channels in asynchronous DS-CDMA systems with long spreading sequences.
Correlation analysis of target echoes using distributed transmit array.,Trading rule discovery in the US stock market: An empirical study.
Computing the Newton Polygon of the Implicit Equation.,Magnetothermoelasticity with two relaxation times in conducting medium with variable electrical and thermal conductivity.
Computing the Newton Polygon of the Implicit Equation.,Tensor-Based AAM with Continuous Variation Estimation: Application to Variation-Robust Face Recognition.
Computing the Newton Polygon of the Implicit Equation.,A simple model of retina-LGN transmission.
Computing the Newton Polygon of the Implicit Equation.,Collaborative adhocracies and mix-and-match technologies in emergency management.
Computing the Newton Polygon of the Implicit Equation.,Rate-distortion theory applied to automatic object recognition.
New Proposed Algorithms for nth Order Butterworth Active Filter Computer-Aided Design.,"The failure of the ""localisationist project"" in mental medicine in nineteenth century France and the emergence of the neurological clinic."
New Proposed Algorithms for nth Order Butterworth Active Filter Computer-Aided Design.,On the Divergence and the Joshi Dependence Measure in Feature Selection.
New Proposed Algorithms for nth Order Butterworth Active Filter Computer-Aided Design.,Linear and DF joint detectors for DS-CDMA communications using periodic long codes.
New Proposed Algorithms for nth Order Butterworth Active Filter Computer-Aided Design.,Construction of Large Sets of Pairwise Disjoint Transitive Triple Systems.
New Proposed Algorithms for nth Order Butterworth Active Filter Computer-Aided Design.,XV. Jean Paul (1763-1825).
Weighted and Controlled Frames: Mutual Relationship and First Numerical Properties.,DVB - vom Digitalen Fernsehen zum Datenrundfunk.
Weighted and Controlled Frames: Mutual Relationship and First Numerical Properties.,Workshop on multi-dimensional separation of concerns in software engineering.
Weighted and Controlled Frames: Mutual Relationship and First Numerical Properties.,Hybrid Reduced-Complexity Multiuser Detector for CDMA Communication Systems.
Weighted and Controlled Frames: Mutual Relationship and First Numerical Properties.,A Global Linear and Local Quadratic Noninterior Continuation Method for Nonlinear Complementarity Problems Based on Chen-Mangasarian Smoothing Functions.
Weighted and Controlled Frames: Mutual Relationship and First Numerical Properties.,Construction of Large Sets of Pairwise Disjoint Transitive Triple Systems.
INDIGO: Better Geomagnetic Observatories Where We Need Them.,On the Black-Box Complexity of Sperner's Lemma.
INDIGO: Better Geomagnetic Observatories Where We Need Them.,Admission control with physical rate measurement for IEEE 802.11e controlled channel access.
INDIGO: Better Geomagnetic Observatories Where We Need Them.,Fast computation of Legendre moments of polyhedra.
INDIGO: Better Geomagnetic Observatories Where We Need Them.,Feature-basierte Modellierung und Analyse von Variabilität in Produktlinienanforderungen.
INDIGO: Better Geomagnetic Observatories Where We Need Them.,On multiserver feedback retrial queues with balking and control retrial rate.
Knightian decision theory and econometric inferences.,Workshop der Nachwuchswissenschaftler/innen.
Knightian decision theory and econometric inferences.,Automatic scaling range selection for long-range dependent network traffic.
Knightian decision theory and econometric inferences.,A martingale Kronecker lemma and parameter estimation for linear systems.
Knightian decision theory and econometric inferences.,A VLSI architecture for dynamic scene analysis.
Knightian decision theory and econometric inferences.,Dynamic QoS control of multimedia applications based on 
Lattice pseudoeffect algebras as double residuated structures.,A tandem queueing model with coupled processors.
Lattice pseudoeffect algebras as double residuated structures.,Formal Lagrangian Operad.
Lattice pseudoeffect algebras as double residuated structures.,Parallel Simulated Annealing.
Lattice pseudoeffect algebras as double residuated structures.,Open hypermedia for product support.
Lattice pseudoeffect algebras as double residuated structures.,A fast graphics printing program for neurophysiological data.
GMM-Based KLT-Domain Switched-Split Vector Quantization for LSF Coding.,On the Numerical Solution of Fredholm Integral Equations of the First Kind by the Inversion of the Linear System Produced by Quadrature.
GMM-Based KLT-Domain Switched-Split Vector Quantization for LSF Coding.,Association between triallelic polymorphism of the serotonin transporter and [
GMM-Based KLT-Domain Switched-Split Vector Quantization for LSF Coding.,Improving Human Decision Making through Case-Based Decision Aiding.
GMM-Based KLT-Domain Switched-Split Vector Quantization for LSF Coding.,Monotonicity properties of wholesale price contracts.
GMM-Based KLT-Domain Switched-Split Vector Quantization for LSF Coding.,Perceptual non-intrusive speech quality assessment using a self-organizing map.
Dominating sets in triangulations on surfaces.,A Unified Algebraic Approach to 2-D and 3-D Motion Segmentation and Estimation.
Dominating sets in triangulations on surfaces.,Workshop on multi-dimensional separation of concerns in software engineering.
Dominating sets in triangulations on surfaces.,Expected model for portfolio selection with random fuzzy returns.
Dominating sets in triangulations on surfaces.,Analytical Methods for CDMA Systems with Parallel Interference Cancellation: The Large Deviation Approach.
Dominating sets in triangulations on surfaces.,Sybase System 11 Online Capabilities.
Capacity- and Bayesian-Based Cognitive Sensing with Location Side Information.,"The failure of the ""localisationist project"" in mental medicine in nineteenth century France and the emergence of the neurological clinic."
Capacity- and Bayesian-Based Cognitive Sensing with Location Side Information.,An efficient volume- rendering algorithm with an analytic approach.
Capacity- and Bayesian-Based Cognitive Sensing with Location Side Information.,A Factorial Design To Optimize Cell-Based Drug Discovery Analysis.
Capacity- and Bayesian-Based Cognitive Sensing with Location Side Information.,Monotonicity properties of wholesale price contracts.
Capacity- and Bayesian-Based Cognitive Sensing with Location Side Information.,Survey of security services on group communications.
Explanation and description in computational neuroscience.,Cyber Crime: How Technology Makes it Easy and What to do About it.
Explanation and description in computational neuroscience.,Stepping out of the shallows.
Explanation and description in computational neuroscience.,Group Divisible Designs with Block Size Four and Group Type 
Explanation and description in computational neuroscience.,Functional Fault Simulation as a Guide for Biased-Random Test Pattern Generation.
Explanation and description in computational neuroscience.,A forward-backward fragment assembling algorithm for the identification of genomic amplification and deletion breakpoints using high-density single nucleotide polymorphism (SNP) array.
"Computer self-efficacy in the information society: Design of learning strategies, mechanisms and skill areas.",Geometric Mean for Subspace Selection.
"Computer self-efficacy in the information society: Design of learning strategies, mechanisms and skill areas.",Stepping out of the shallows.
"Computer self-efficacy in the information society: Design of learning strategies, mechanisms and skill areas.",Syndicated crime and international terrorism: the lessons of '9-11'.
"Computer self-efficacy in the information society: Design of learning strategies, mechanisms and skill areas.",Construction of Large Sets of Pairwise Disjoint Transitive Triple Systems.
"Computer self-efficacy in the information society: Design of learning strategies, mechanisms and skill areas.",On rank of block Hankel matrix for 2-D frequency detection and estimation.
Crop rotation scheduling with adjacency constraints.,An evaluation of alert services: quantity versus quality.
Crop rotation scheduling with adjacency constraints.,A New Method to Obtain Termination in Backward Proof Search for Modal Logic 
Crop rotation scheduling with adjacency constraints.,Problem-based learning as an effective tool for teaching computer network design.
Crop rotation scheduling with adjacency constraints.,The Preempt-Resume M/G/1 Queue with Feedback and Clocked Schedules.
Crop rotation scheduling with adjacency constraints.,Fingerprint classification using a feedback-based line detector.
Reliability Allocation Problem in Series-Parallel Systems: Ant Colony Optimization.,Dynamic establishment of restorable connections using p.
Reliability Allocation Problem in Series-Parallel Systems: Ant Colony Optimization.,Symbol-by-Symbol MAP Decoding Algorithm for High-Rate Convolutional Codes That Use Reciprocal Dual Codes.
Reliability Allocation Problem in Series-Parallel Systems: Ant Colony Optimization.,ReAlignerV: Web-based genomic alignment tool with high specificity and robustness estimated by species-specific insertion sequences.
Reliability Allocation Problem in Series-Parallel Systems: Ant Colony Optimization.,Movement Pattern Recognition of Medaka for an Insecticide: A Comparison of Decision Tree and Neural Network.
Reliability Allocation Problem in Series-Parallel Systems: Ant Colony Optimization.,XV. Jean Paul (1763-1825).
Mixing network coding and cooperation for reliable wireless communications.,The game coloring number of pseudo partial 
Mixing network coding and cooperation for reliable wireless communications.,A Unified Algebraic Approach to 2-D and 3-D Motion Segmentation and Estimation.
Mixing network coding and cooperation for reliable wireless communications.,Communication Theory Joint data detection and estimation of time-varying multipath rayleigh fading channels in asynchronous DS-CDMA systems with long spreading sequences.
Mixing network coding and cooperation for reliable wireless communications.,Dynamic QoS control of multimedia applications based on 
Mixing network coding and cooperation for reliable wireless communications.,Phone-level pronunciation scoring and assessment for interactive language learning.
Fuzzy logic control of three-pole active magnetic bearing system.,Towards a logical reconstruction of structured modeling.
Fuzzy logic control of three-pole active magnetic bearing system.,Structuring and modules for knowledge bases: motivation for a new model.
Fuzzy logic control of three-pole active magnetic bearing system.,Review Paper: Roundtable on Bioterrorism Detection: Information System-based Surveillance.
Fuzzy logic control of three-pole active magnetic bearing system.,Stochastic Models with Multistability and Extinction Levels.
Fuzzy logic control of three-pole active magnetic bearing system.,FCC's Broadband Quartet: A State-Federal Fugue or Feud?
Design of WAMS-Based Multiple HVDC Damping Control System.,Gaussian beam launching for 3D physical modeling of propagation channels.
Design of WAMS-Based Multiple HVDC Damping Control System.,Adaptive Geometry Image.
Design of WAMS-Based Multiple HVDC Damping Control System.,Algorithms for Shape Analysis of Contours and Waveforms.
Design of WAMS-Based Multiple HVDC Damping Control System.,Problem 11378.
Design of WAMS-Based Multiple HVDC Damping Control System.,Density of Extremal Sets in Multivariate Chebyshev Approximation.
Privacy-preserving network forensics.,Entanglement cost of generalised measurements.
Privacy-preserving network forensics.,Exploiting GSM short message service for ubiquitous accessing.
Privacy-preserving network forensics.,Hamiltonian Systems: Chaos and Quantization (Alfredo M. Ozorio de Almeida). Chaos and Integrability in Nonlinear Dynamics: An Introduction (Michael Tabor) An Introduction to Chaotic Dynamical Systems (Robert L. Devaney).
Privacy-preserving network forensics.,Animal behavior as a paradigm for developing robot autonomy.
Privacy-preserving network forensics.,On rank of block Hankel matrix for 2-D frequency detection and estimation.
What can software engineers learn from manufacturing to improve software process and product?,Admission control with physical rate measurement for IEEE 802.11e controlled channel access.
What can software engineers learn from manufacturing to improve software process and product?,A content based image retrieval system for a biological specimen collection.
What can software engineers learn from manufacturing to improve software process and product?,Parallel Simulated Annealing.
What can software engineers learn from manufacturing to improve software process and product?,Beyond Document Similarity: Understanding Value-Based Search and Browsing Technologies.
What can software engineers learn from manufacturing to improve software process and product?,"Review of ""Concurrent and real-time systems: the CSP approach"" by Steve Schneider. Wiley 1999."
Supposed maximum information for comprehensible representations in SOM.,Structuring and modules for knowledge bases: motivation for a new model.
Supposed maximum information for comprehensible representations in SOM.,Editorial: Supporting healthcare reform with augmented electronic medical records system.
Supposed maximum information for comprehensible representations in SOM.,Meeting Food Quality and Safety Requirements with Active and Intelligent Packaging Techniques.
Supposed maximum information for comprehensible representations in SOM.,Fourier Transform over Finite Groups for Error Detection and Error Correction in Computation Channels
Supposed maximum information for comprehensible representations in SOM.,Protocols for reliable data transport in space internet.
Portable and Airborne Small Footprint LiDAR: Forest Canopy Structure Estimation of Fire Managed Plots.,Internetalization of End-Users.
Portable and Airborne Small Footprint LiDAR: Forest Canopy Structure Estimation of Fire Managed Plots.,"Incomplete Markets, Allocative Efficiency, and the Information Revealed by Prices."
Portable and Airborne Small Footprint LiDAR: Forest Canopy Structure Estimation of Fire Managed Plots.,High-tech indicators: assessing the competitiveness of selected European countries.
Portable and Airborne Small Footprint LiDAR: Forest Canopy Structure Estimation of Fire Managed Plots.,Review Paper: Roundtable on Bioterrorism Detection: Information System-based Surveillance.
Portable and Airborne Small Footprint LiDAR: Forest Canopy Structure Estimation of Fire Managed Plots.,Prototyping: generating ideas or cargo cult designs?
A method to optimize evacuation instructions.,A martingale Kronecker lemma and parameter estimation for linear systems.
A method to optimize evacuation instructions.,Editorial: Supporting healthcare reform with augmented electronic medical records system.
A method to optimize evacuation instructions.,Nucleotide sequence of tryptophan tRNA from Bacillus subtilis.
A method to optimize evacuation instructions.,Intermodulation performance of biased-nonlinearities.
A method to optimize evacuation instructions.,On multiserver feedback retrial queues with balking and control retrial rate.
Estimation of fiber orientation and spin density distribution by diffusion deconvolution.,Scalable Parallel and Distributed Expert Database Systems with Predictive Load Balancing.
Estimation of fiber orientation and spin density distribution by diffusion deconvolution.,UWB Channel Modeling in Roadway and Indoor Parking Environments.
Estimation of fiber orientation and spin density distribution by diffusion deconvolution.,Dedication.
Estimation of fiber orientation and spin density distribution by diffusion deconvolution.,Survey of security services on group communications.
Estimation of fiber orientation and spin density distribution by diffusion deconvolution.,An efficient syntactic approach to structural analysis of on-line handwritten mathematical expressions.
A spatial decision support tool for estimating population catchments to aid rural and remote health service allocation planning.,PDF/A: A Viable Addition to the Preservation Toolkit.
A spatial decision support tool for estimating population catchments to aid rural and remote health service allocation planning.,Magnetothermoelasticity with two relaxation times in conducting medium with variable electrical and thermal conductivity.
A spatial decision support tool for estimating population catchments to aid rural and remote health service allocation planning.,Gaussian beam launching for 3D physical modeling of propagation channels.
A spatial decision support tool for estimating population catchments to aid rural and remote health service allocation planning.,Technology entrepreneurial styles: a comparison of UMC and TSMC.
A spatial decision support tool for estimating population catchments to aid rural and remote health service allocation planning.,UCL facsimile system.
Editorial Foreword.,TOPS Imaging With TerraSAR-X: Mode Design and Performance Analysis.
Editorial Foreword.,Absolutely expedient imitative behavior.
Editorial Foreword.,Assessment of changes in urban green spaces of Mashad city using satellite data.
Editorial Foreword.,XV. Jean Paul (1763-1825).
Editorial Foreword.,Two-dimensional dot codes for product identification.
Multipath Routing for Video Streaming inWireless Mesh Networks.,IO and OI. II.
Multipath Routing for Video Streaming inWireless Mesh Networks.,Region segmentation using information divergence measures.
Multipath Routing for Video Streaming inWireless Mesh Networks.,Semantics of Multiplicative Propositional Signed Sequent Calculi with Structural Rules.
Multipath Routing for Video Streaming inWireless Mesh Networks.,Feature Extraction in Character Recognition with Associative Memory Classifier.
Multipath Routing for Video Streaming inWireless Mesh Networks.,On multiserver feedback retrial queues with balking and control retrial rate.
Recent trends indicate rapid growth of nature-inspired optimization in academia and industry.,Multichannel bandwidth allocation in a broadband packet switch.
Recent trends indicate rapid growth of nature-inspired optimization in academia and industry.,Further results on time-free P systems.
Recent trends indicate rapid growth of nature-inspired optimization in academia and industry.,Association between triallelic polymorphism of the serotonin transporter and [
Recent trends indicate rapid growth of nature-inspired optimization in academia and industry.,Communication Theory Joint data detection and estimation of time-varying multipath rayleigh fading channels in asynchronous DS-CDMA systems with long spreading sequences.
Recent trends indicate rapid growth of nature-inspired optimization in academia and industry.,Using Reputation Systems and Non-Deterministic Routing to Secure Wireless Sensor Networks.
Assessment for soil improvement benefit of land rehabilitation in dump areas.,A Theory of Restricted Quantification I.
Assessment for soil improvement benefit of land rehabilitation in dump areas.,An evaluation of alert services: quantity versus quality.
Assessment for soil improvement benefit of land rehabilitation in dump areas.,Using graph partitioning to discover regions of correlated spatio-temporal change in evolving graphs.
Assessment for soil improvement benefit of land rehabilitation in dump areas.,Defending the Boundaries: Identifying and Countering Threats in a Usenet Newsgroup.
Assessment for soil improvement benefit of land rehabilitation in dump areas.,On the Calculation of Squaring Loss in Costas Loops with Arbitrary Arm Filters.
Error analysis for a non-standard class of differential quasi-interpolants.,Preface.
Error analysis for a non-standard class of differential quasi-interpolants.,High-tech indicators: assessing the competitiveness of selected European countries.
Error analysis for a non-standard class of differential quasi-interpolants.,On the expected time for Herman's probabilistic self-stabilizing algorithm.
Error analysis for a non-standard class of differential quasi-interpolants.,Enterprise Network Security - A New Approach.
Error analysis for a non-standard class of differential quasi-interpolants.,The effects of transparency on trust in and acceptance of a content-based art recommender.
"Automated detection and localisation of duplicated regions affected by reflection, rotation and scaling in image forensics.",A Unified Algebraic Approach to 2-D and 3-D Motion Segmentation and Estimation.
"Automated detection and localisation of duplicated regions affected by reflection, rotation and scaling in image forensics.",A Rigorously Bayesian Beam Model and an Adaptive Full Scan Model for Range Finders in Dynamic Environments.
"Automated detection and localisation of duplicated regions affected by reflection, rotation and scaling in image forensics.",Absolutely expedient imitative behavior.
"Automated detection and localisation of duplicated regions affected by reflection, rotation and scaling in image forensics.",Graph decomposition with applications to subdivisions and path systems modulo 
"Automated detection and localisation of duplicated regions affected by reflection, rotation and scaling in image forensics.",Editorial pointers.
Mobile Applikationen im Recruiting und Personalmarketing.,Capacity- and Bayesian-Based Cognitive Sensing with Location Side Information.
Mobile Applikationen im Recruiting und Personalmarketing.,Monotonicity properties of wholesale price contracts.
Mobile Applikationen im Recruiting und Personalmarketing.,On a Free Boundary Problem for a Strongly Degenerate Quasi-Linear Parabolic Equation with an Application to a Model of Pressure Filtration.
Mobile Applikationen im Recruiting und Personalmarketing.,Graph decomposition with applications to subdivisions and path systems modulo 
Mobile Applikationen im Recruiting und Personalmarketing.,A forward-backward fragment assembling algorithm for the identification of genomic amplification and deletion breakpoints using high-density single nucleotide polymorphism (SNP) array.
Probabilistic visual secret sharing schemes for grey-scale images and color images.,Towards a logical reconstruction of structured modeling.
Probabilistic visual secret sharing schemes for grey-scale images and color images.,Reconstructing Binary Signals by Rule-Based Fuzzy Equalizer with Self-Organizing Capability.
Probabilistic visual secret sharing schemes for grey-scale images and color images.,SMS Banking: An Exploratory Investigation of the Factors Influencing Future Use.
Probabilistic visual secret sharing schemes for grey-scale images and color images.,Towards multidimensional subspace skyline analysis.
Probabilistic visual secret sharing schemes for grey-scale images and color images.,A forward-backward fragment assembling algorithm for the identification of genomic amplification and deletion breakpoints using high-density single nucleotide polymorphism (SNP) array.
An integrated MOGA approach to determine the Pareto-optimal kanban number and size for a JIT system.,A central limit theorem for normalized products of random matrices.
An integrated MOGA approach to determine the Pareto-optimal kanban number and size for a JIT system.,G-stack modulated probe intensities on expression arrays - sequence corrections and signal calibration.
An integrated MOGA approach to determine the Pareto-optimal kanban number and size for a JIT system.,A large-scale empirical study of P3P privacy policies: Stated actions vs. legal obligations.
An integrated MOGA approach to determine the Pareto-optimal kanban number and size for a JIT system.,Symbol-by-Symbol MAP Decoding Algorithm for High-Rate Convolutional Codes That Use Reciprocal Dual Codes.
An integrated MOGA approach to determine the Pareto-optimal kanban number and size for a JIT system.,Sequent calculi for skeptical reasoning in predicate default logic and other nonmonotonic logics.
Modeling allosteric signal propagation using protein structure networks.,Further results on time-free P systems.
Modeling allosteric signal propagation using protein structure networks.,Magnetothermoelasticity with two relaxation times in conducting medium with variable electrical and thermal conductivity.
Modeling allosteric signal propagation using protein structure networks.,Algorithm 300: Coulomb wave functions.
Modeling allosteric signal propagation using protein structure networks.,Optimal policies with decreasing probability of imperfect maintenance.
Modeling allosteric signal propagation using protein structure networks.,TOPS Imaging With TerraSAR-X: Mode Design and Performance Analysis.
Initial Boundary Value Problem for Model Equations of Resistive Drift Wave Turbulence.,Stabilizing an Uncertain Production System.
Initial Boundary Value Problem for Model Equations of Resistive Drift Wave Turbulence.,Workshop on multi-dimensional separation of concerns in software engineering.
Initial Boundary Value Problem for Model Equations of Resistive Drift Wave Turbulence.,"A Common Set of Perceptual Observables for Grouping, Figure-Ground Discrimination, and Texture Classification."
Initial Boundary Value Problem for Model Equations of Resistive Drift Wave Turbulence.,Trading rule discovery in the US stock market: An empirical study.
Initial Boundary Value Problem for Model Equations of Resistive Drift Wave Turbulence.,Free at Last: The Future of Peer-Reviewed Journals.
On nonmetric similarity search problems in complex domains.,Compilation des contraintes booléennes n-aires pour le traitement des CSP dynamiques.
On nonmetric similarity search problems in complex domains.,Algebraic and combinatorial results for ranking competitors in a sequence of races.
On nonmetric similarity search problems in complex domains.,Construction of Large Sets of Pairwise Disjoint Transitive Triple Systems.
On nonmetric similarity search problems in complex domains.,Book review.
On nonmetric similarity search problems in complex domains.,PRALINE
Local bifurcation Boundary and Steady-State Security Boundary in Large Electric Power Systems: Numerical Studies.,Structuring and modules for knowledge bases: motivation for a new model.
Local bifurcation Boundary and Steady-State Security Boundary in Large Electric Power Systems: Numerical Studies.,Deterministic Extractors for Bit-Fixing Sources and Exposure-Resilient Cryptography.
Local bifurcation Boundary and Steady-State Security Boundary in Large Electric Power Systems: Numerical Studies.,G-stack modulated probe intensities on expression arrays - sequence corrections and signal calibration.
Local bifurcation Boundary and Steady-State Security Boundary in Large Electric Power Systems: Numerical Studies.,Adaptive Geometry Image.
Local bifurcation Boundary and Steady-State Security Boundary in Large Electric Power Systems: Numerical Studies.,Stochastic Models with Multistability and Extinction Levels.
A Semantic Approach to Virtual World Standards.,Geometric Mean for Subspace Selection.
A Semantic Approach to Virtual World Standards.,Sequent calculi for skeptical reasoning in predicate default logic and other nonmonotonic logics.
A Semantic Approach to Virtual World Standards.,Improving the prediction performance of customer behavior through multiple imputation.
A Semantic Approach to Virtual World Standards.,On numbers of vertices of maximum degree in the spanning trees of a graph.
A Semantic Approach to Virtual World Standards.,Contextual Factors in the Appearance of Consumer Robots: Exploratory Assessment of Perceived Anxiety Toward Humanlike Consumer Robots.
Comparison of four mathematical models to analyze indicator-dilution curves in the coronary circulation.,Dominating sets in triangulations on surfaces.
Comparison of four mathematical models to analyze indicator-dilution curves in the coronary circulation.,Systematic Integration of Design Methods.
Comparison of four mathematical models to analyze indicator-dilution curves in the coronary circulation.,Geometric Mean for Subspace Selection.
Comparison of four mathematical models to analyze indicator-dilution curves in the coronary circulation.,UWB Channel Modeling in Roadway and Indoor Parking Environments.
Comparison of four mathematical models to analyze indicator-dilution curves in the coronary circulation.,Efficient priority-first search maximum-likelihood soft-decision decoding of linear block codes.
Candidate List Reduction Based on the Analysis of Fingerprint Indexing Scores.,Finding Rectilinear Paths Among Obstacles in a Two-Layer Interconnection Model.
Candidate List Reduction Based on the Analysis of Fingerprint Indexing Scores.,A Semantic web approach to handling soft constraints in virtual organisations.
Candidate List Reduction Based on the Analysis of Fingerprint Indexing Scores.,Convergence and steady-state analysis of the normalized least mean fourth algorithm.
Candidate List Reduction Based on the Analysis of Fingerprint Indexing Scores.,Graph decomposition with applications to subdivisions and path systems modulo 
Candidate List Reduction Based on the Analysis of Fingerprint Indexing Scores.,"Second-sourcing CPUs - Emulation, Ethics, And Electropolitics."
Private Cloud-Infrastrukturen und Cloud-Plattformen.,Dominating sets in triangulations on surfaces.
Private Cloud-Infrastrukturen und Cloud-Plattformen.,ISAR Imaging of Rotating Target with Equal Changing Acceleration Based on the Cubic Phase Function.
Private Cloud-Infrastrukturen und Cloud-Plattformen.,Tighter constant-factor time hierarchies.
Private Cloud-Infrastrukturen und Cloud-Plattformen.,Product Cost Management Structures: a review and neural network modelling.
Private Cloud-Infrastrukturen und Cloud-Plattformen.,Localized measurement of image fractal dimension using gabor filters.
Computational performance of basic state reduction based dynamic programming algorithms for bi-objective 0-1 knapsack problems.,Internetalization of End-Users.
Computational performance of basic state reduction based dynamic programming algorithms for bi-objective 0-1 knapsack problems.,Hierarchical Layouts for Photo Libraries.
Computational performance of basic state reduction based dynamic programming algorithms for bi-objective 0-1 knapsack problems.,A real-time cloth draping simulation algorithm using conjugate harmonic functions.
Computational performance of basic state reduction based dynamic programming algorithms for bi-objective 0-1 knapsack problems.,Design and Implementation of Web Services Middleware to Support Fair Non-Repudiable Interactions.
Computational performance of basic state reduction based dynamic programming algorithms for bi-objective 0-1 knapsack problems.,"A Stochastic Formulation of the Dynamic Assignment Problem, with an Application to Truckload Motor Carriers."
Beat Tracking for Multiple Applications: A Multi-Agent System Architecture With State Recovery.,Test Power Reduction Using Integrated Scan Cell and Test Vector Reordering Techniques on Linear Scan and Double Tree Scan Architectures.
Beat Tracking for Multiple Applications: A Multi-Agent System Architecture With State Recovery.,Fundamentals of Implementing Real-Time Control Applications in Distributed Computer Systems.
Beat Tracking for Multiple Applications: A Multi-Agent System Architecture With State Recovery.,Cyber Crime: How Technology Makes it Easy and What to do About it.
Beat Tracking for Multiple Applications: A Multi-Agent System Architecture With State Recovery.,Real controllability/stabilizability radius of LTI systems.
Beat Tracking for Multiple Applications: A Multi-Agent System Architecture With State Recovery.,Density of Extremal Sets in Multivariate Chebyshev Approximation.
Analysis of an adaptive Uzawa finite element method for the nonlinear Stokes problem.,DVB - vom Digitalen Fernsehen zum Datenrundfunk.
Analysis of an adaptive Uzawa finite element method for the nonlinear Stokes problem.,Algebraic and combinatorial results for ranking competitors in a sequence of races.
Analysis of an adaptive Uzawa finite element method for the nonlinear Stokes problem.,Vector quantization of excitation gains in speech coding.
Analysis of an adaptive Uzawa finite element method for the nonlinear Stokes problem.,Syndicated crime and international terrorism: the lessons of '9-11'.
Analysis of an adaptive Uzawa finite element method for the nonlinear Stokes problem.,Rate-distortion theory applied to automatic object recognition.
Evaluation of Dynamic Channel and Power Assignment for Cognitive Networks.,Design of WAMS-Based Multiple HVDC Damping Control System.
